index,actual,predicted,probability,cumulative_pos,cost,revenue,profit
134,0.0,0.0,0.0,22,536,330,-206
135,0.0,0.0,0.0,22,540,330,-210
136,0.0,0.0,0.0,22,544,330,-214
137,0.0,0.0,0.0,22,548,330,-218
138,0.0,0.0,0.0,22,552,330,-222
139,0.0,0.0,0.0,22,556,330,-226
140,1.0,1.0,1.0,23,560,345,-215
141,0.0,0.0,0.0,23,564,345,-219
142,0.0,0.0,0.0,23,568,345,-223
143,1.0,1.0,1.0,24,572,360,-212
144,0.0,0.0,0.0,24,576,360,-216
145,0.0,0.0,0.0,24,580,360,-220
146,1.0,1.0,0.6666666666666666,25,584,375,-209
147,0.0,0.0,0.0,25,588,375,-213
148,0.0,0.0,0.0,25,592,375,-217
149,0.0,0.0,0.0,25,596,375,-221
150,0.0,0.0,0.0,25,600,375,-225
151,0.0,0.0,0.0,25,604,375,-229
152,0.0,0.0,0.0,25,608,375,-233
153,0.0,0.0,0.0,25,612,375,-237
154,0.0,0.0,0.0,25,616,375,-241
155,0.0,0.0,0.0,25,620,375,-245
156,0.0,0.0,0.0,25,624,375,-249
157,0.0,0.0,0.0,25,628,375,-253
158,0.0,0.0,0.0,25,632,375,-257
159,0.0,0.0,0.0,25,636,375,-261
160,0.0,1.0,0.6,25,640,375,-265
161,0.0,0.0,0.0,25,644,375,-269
162,0.0,0.0,0.0,25,648,375,-273
163,0.0,0.0,0.0,25,652,375,-277
164,0.0,0.0,0.0,25,656,375,-281
165,1.0,1.0,1.0,26,660,390,-270
166,0.0,0.0,0.0,26,664,390,-274
167,0.0,0.0,0.0,26,668,390,-278
168,1.0,1.0,1.0,27,672,405,-267
169,0.0,0.0,0.0,27,676,405,-271
170,1.0,1.0,1.0,28,680,420,-260
171,1.0,1.0,0.6,29,684,435,-249
172,0.0,0.0,0.0,29,688,435,-253
173,0.0,0.0,0.0,29,692,435,-257
174,0.0,0.0,0.0,29,696,435,-261
175,1.0,1.0,1.0,30,700,450,-250
176,0.0,0.0,0.0,30,704,450,-254
177,0.0,0.0,0.0,30,708,450,-258
178,0.0,0.0,0.0,30,712,450,-262
179,0.0,0.0,0.0,30,716,450,-266
180,0.0,0.0,0.0,30,720,450,-270
181,1.0,1.0,1.0,31,724,465,-259
182,0.0,0.0,0.3333333333333333,31,728,465,-263
183,0.0,0.0,0.0,31,732,465,-267
184,0.0,0.0,0.0,31,736,465,-271
185,0.0,0.0,0.5,31,740,465,-275
186,0.0,0.0,0.0,31,744,465,-279
187,0.0,0.0,0.0,31,748,465,-283
188,0.0,0.0,0.0,31,752,465,-287
189,0.0,0.0,0.0,31,756,465,-291
190,1.0,0.0,0.3333333333333333,32,760,480,-280
191,0.0,0.0,0.0,32,764,480,-284
192,0.0,0.0,0.0,32,768,480,-288
193,1.0,1.0,1.0,33,772,495,-277
194,0.0,0.0,0.0,33,776,495,-281
195,1.0,1.0,1.0,34,780,510,-270
196,0.0,0.0,0.0,34,784,510,-274
197,0.0,0.0,0.0,34,788,510,-278
198,0.0,0.0,0.0,34,792,510,-282
199,0.0,0.0,0.0,34,796,510,-286
200,0.0,0.0,0.0,34,800,510,-290
201,1.0,1.0,1.0,35,804,525,-279
202,1.0,1.0,1.0,36,808,540,-268
203,1.0,1.0,1.0,37,812,555,-257
204,0.0,0.0,0.0,37,816,555,-261
205,0.0,0.0,0.3333333333333333,37,820,555,-265
206,0.0,0.0,0.0,37,824,555,-269
207,0.0,0.0,0.0,37,828,555,-273
208,0.0,0.0,0.0,37,832,555,-277
209,0.0,0.0,0.0,37,836,555,-281
210,0.0,0.0,0.0,37,840,555,-285
211,0.0,0.0,0.0,37,844,555,-289
212,0.0,0.0,0.0,37,848,555,-293
213,0.0,0.0,0.0,37,852,555,-297
214,0.0,0.0,0.0,37,856,555,-301
215,0.0,0.0,0.0,37,860,555,-305
216,0.0,0.0,0.0,37,864,555,-309
217,0.0,0.0,0.0,37,868,555,-313
218,0.0,0.0,0.0,37,872,555,-317
219,0.0,0.0,0.0,37,876,555,-321
220,0.0,0.0,0.0,37,880,555,-325
221,0.0,0.0,0.0,37,884,555,-329
222,0.0,0.0,0.0,37,888,555,-333
223,0.0,0.0,0.0,37,892,555,-337
224,0.0,0.0,0.0,37,896,555,-341
225,0.0,0.0,0.0,37,900,555,-345
226,0.0,0.0,0.0,37,904,555,-349
227,0.0,0.0,0.0,37,908,555,-353
228,0.0,0.0,0.0,37,912,555,-357
229,1.0,1.0,1.0,38,916,570,-346
230,0.0,0.0,0.3333333333333333,38,920,570,-350
231,0.0,0.0,0.0,38,924,570,-354
232,0.0,0.0,0.0,38,928,570,-358
233,0.0,0.0,0.0,38,932,570,-362
234,0.0,0.0,0.0,38,936,570,-366
235,1.0,1.0,1.0,39,940,585,-355
236,0.0,0.0,0.0,39,944,585,-359
237,0.0,0.0,0.0,39,948,585,-363
238,1.0,1.0,0.6666666666666666,40,952,600,-352
239,1.0,1.0,1.0,41,956,615,-341
240,0.0,0.0,0.0,41,960,615,-345
241,1.0,0.0,0.5,42,964,630,-334
242,0.0,0.0,0.0,42,968,630,-338
243,0.0,0.0,0.0,42,972,630,-342
244,0.0,0.0,0.0,42,976,630,-346
245,0.0,0.0,0.0,42,980,630,-350
246,0.0,0.0,0.2,42,984,630,-354
247,0.0,0.0,0.0,42,988,630,-358
248,0.0,0.0,0.0,42,992,630,-362
249,0.0,0.0,0.0,42,996,630,-366
250,0.0,0.0,0.0,42,1000,630,-370
251,0.0,0.0,0.0,42,1004,630,-374
252,0.0,0.0,0.0,42,1008,630,-378
253,0.0,0.0,0.0,42,1012,630,-382
254,0.0,0.0,0.0,42,1016,630,-386
255,0.0,0.0,0.0,42,1020,630,-390
256,0.0,0.0,0.0,42,1024,630,-394
257,0.0,0.0,0.0,42,1028,630,-398
258,0.0,0.0,0.0,42,1032,630,-402
259,0.0,0.0,0.0,42,1036,630,-406
260,1.0,1.0,1.0,43,1040,645,-395
261,0.0,0.0,0.0,43,1044,645,-399
262,1.0,1.0,1.0,44,1048,660,-388
263,0.0,0.0,0.0,44,1052,660,-392
264,0.0,0.0,0.0,44,1056,660,-396
265,0.0,0.0,0.0,44,1060,660,-400
266,0.0,0.0,0.0,44,1064,660,-404
267,0.0,0.0,0.0,44,1068,660,-408
268,0.0,0.0,0.0,44,1072,660,-412
269,0.0,0.0,0.0,44,1076,660,-416
270,0.0,0.0,0.0,44,1080,660,-420
271,0.0,0.0,0.0,44,1084,660,-424
272,0.0,0.0,0.0,44,1088,660,-428
273,1.0,1.0,0.75,45,1092,675,-417
274,0.0,0.0,0.0,45,1096,675,-421
275,1.0,1.0,1.0,46,1100,690,-410
276,1.0,1.0,1.0,47,1104,705,-399
277,0.0,0.0,0.2,47,1108,705,-403
278,0.0,0.0,0.0,47,1112,705,-407
279,0.0,0.0,0.0,47,1116,705,-411
280,0.0,0.0,0.0,47,1120,705,-415
281,0.0,0.0,0.0,47,1124,705,-419
282,0.0,0.0,0.0,47,1128,705,-423
283,0.0,0.0,0.0,47,1132,705,-427
284,0.0,0.0,0.0,47,1136,705,-431
285,0.0,0.0,0.0,47,1140,705,-435
286,0.0,0.0,0.0,47,1144,705,-439
287,1.0,1.0,1.0,48,1148,720,-428
288,0.0,0.0,0.0,48,1152,720,-432
289,0.0,0.0,0.0,48,1156,720,-436
290,0.0,0.0,0.0,48,1160,720,-440
291,0.0,0.0,0.0,48,1164,720,-444
292,0.0,0.0,0.0,48,1168,720,-448
293,1.0,1.0,1.0,49,1172,735,-437
294,0.0,0.0,0.0,49,1176,735,-441
295,0.0,0.0,0.0,49,1180,735,-445
296,0.0,0.0,0.0,49,1184,735,-449
297,0.0,0.0,0.0,49,1188,735,-453
298,0.0,0.0,0.0,49,1192,735,-457
299,0.0,0.0,0.0,49,1196,735,-461
300,1.0,1.0,0.6666666666666666,50,1200,750,-450
301,0.0,0.0,0.0,50,1204,750,-454
302,0.0,0.0,0.0,50,1208,750,-458
303,0.0,0.0,0.0,50,1212,750,-462
304,0.0,0.0,0.0,50,1216,750,-466
305,0.0,0.0,0.0,50,1220,750,-470
306,0.0,0.0,0.0,50,1224,750,-474
307,1.0,1.0,1.0,51,1228,765,-463
308,0.0,0.0,0.0,51,1232,765,-467
309,1.0,1.0,1.0,52,1236,780,-456
310,0.0,0.0,0.0,52,1240,780,-460
311,1.0,1.0,1.0,53,1244,795,-449
312,0.0,0.0,0.0,53,1248,795,-453
313,0.0,0.0,0.0,53,1252,795,-457
314,0.0,0.0,0.0,53,1256,795,-461
315,0.0,0.0,0.0,53,1260,795,-465
316,0.0,0.0,0.0,53,1264,795,-469
317,1.0,1.0,1.0,54,1268,810,-458
318,0.0,0.0,0.0,54,1272,810,-462
319,0.0,0.0,0.0,54,1276,810,-466
320,0.0,0.0,0.0,54,1280,810,-470
321,0.0,0.0,0.0,54,1284,810,-474
322,0.0,0.0,0.0,54,1288,810,-478
323,1.0,1.0,1.0,55,1292,825,-467
324,0.0,0.0,0.0,55,1296,825,-471
325,0.0,0.0,0.0,55,1300,825,-475
326,1.0,1.0,1.0,56,1304,840,-464
327,0.0,0.0,0.0,56,1308,840,-468
328,0.0,0.0,0.0,56,1312,840,-472
329,0.0,0.0,0.0,56,1316,840,-476
330,0.0,0.0,0.0,56,1320,840,-480
331,0.0,0.0,0.0,56,1324,840,-484
332,1.0,1.0,1.0,57,1328,855,-473
333,0.0,0.0,0.0,57,1332,855,-477
334,0.0,0.0,0.0,57,1336,855,-481
335,1.0,1.0,1.0,58,1340,870,-470
336,0.0,0.0,0.3333333333333333,58,1344,870,-474
337,0.0,0.0,0.0,58,1348,870,-478
338,1.0,1.0,1.0,59,1352,885,-467
339,0.0,0.0,0.0,59,1356,885,-471
340,1.0,1.0,1.0,60,1360,900,-460
341,0.0,0.0,0.0,60,1364,900,-464
342,0.0,0.0,0.0,60,1368,900,-468
343,0.0,0.0,0.0,60,1372,900,-472
344,0.0,0.0,0.0,60,1376,900,-476
345,0.0,0.0,0.0,60,1380,900,-480
346,0.0,0.0,0.0,60,1384,900,-484
347,0.0,0.0,0.0,60,1388,900,-488
348,0.0,0.0,0.0,60,1392,900,-492
349,0.0,0.0,0.0,60,1396,900,-496
350,0.0,0.0,0.0,60,1400,900,-500
351,0.0,0.0,0.0,60,1404,900,-504
352,0.0,0.0,0.0,60,1408,900,-508
353,1.0,0.0,0.25,61,1412,915,-497
354,0.0,0.0,0.0,61,1416,915,-501
355,0.0,0.0,0.0,61,1420,915,-505
356,0.0,0.0,0.0,61,1424,915,-509
357,0.0,0.0,0.0,61,1428,915,-513
358,0.0,0.0,0.0,61,1432,915,-517
359,0.0,0.0,0.0,61,1436,915,-521
360,0.0,0.0,0.0,61,1440,915,-525
361,1.0,1.0,1.0,62,1444,930,-514
362,0.0,0.0,0.0,62,1448,930,-518
363,0.0,0.0,0.0,62,1452,930,-522
364,0.0,0.0,0.0,62,1456,930,-526
365,0.0,0.0,0.0,62,1460,930,-530
366,0.0,0.0,0.0,62,1464,930,-534
367,0.0,0.0,0.0,62,1468,930,-538
368,0.0,0.0,0.3333333333333333,62,1472,930,-542
369,0.0,0.0,0.0,62,1476,930,-546
370,0.0,0.0,0.0,62,1480,930,-550
371,0.0,0.0,0.0,62,1484,930,-554
372,0.0,0.0,0.0,62,1488,930,-558
373,0.0,0.0,0.0,62,1492,930,-562
374,0.0,0.0,0.0,62,1496,930,-566
375,0.0,0.0,0.0,62,1500,930,-570
376,0.0,0.0,0.0,62,1504,930,-574
377,0.0,0.0,0.0,62,1508,930,-578
378,0.0,0.0,0.0,62,1512,930,-582
379,0.0,0.0,0.0,62,1516,930,-586
380,0.0,0.0,0.0,62,1520,930,-590
381,0.0,0.0,0.0,62,1524,930,-594
382,1.0,1.0,1.0,63,1528,945,-583
383,0.0,0.0,0.0,63,1532,945,-587
384,0.0,0.0,0.0,63,1536,945,-591
385,0.0,0.0,0.0,63,1540,945,-595
386,0.0,0.0,0.0,63,1544,945,-599
387,0.0,0.0,0.0,63,1548,945,-603
388,0.0,0.0,0.0,63,1552,945,-607
389,0.0,0.0,0.0,63,1556,945,-611
390,1.0,1.0,1.0,64,1560,960,-600
391,0.0,0.0,0.0,64,1564,960,-604
392,0.0,0.0,0.0,64,1568,960,-608
393,0.0,0.0,0.0,64,1572,960,-612
394,0.0,0.0,0.0,64,1576,960,-616
395,1.0,1.0,1.0,65,1580,975,-605
396,0.0,0.0,0.0,65,1584,975,-609
397,0.0,0.0,0.0,65,1588,975,-613
398,0.0,0.0,0.0,65,1592,975,-617
399,0.0,0.0,0.0,65,1596,975,-621
400,0.0,0.0,0.0,65,1600,975,-625
401,0.0,0.0,0.0,65,1604,975,-629
402,0.0,0.0,0.0,65,1608,975,-633
403,0.0,0.0,0.0,65,1612,975,-637
404,0.0,0.0,0.0,65,1616,975,-641
405,0.0,0.0,0.0,65,1620,975,-645
406,1.0,1.0,1.0,66,1624,990,-634
407,0.0,1.0,0.6666666666666666,66,1628,990,-638
408,1.0,1.0,0.6,67,1632,1005,-627
409,0.0,0.0,0.0,67,1636,1005,-631
410,0.0,0.0,0.0,67,1640,1005,-635
411,0.0,0.0,0.0,67,1644,1005,-639
412,0.0,0.0,0.0,67,1648,1005,-643
413,0.0,0.0,0.0,67,1652,1005,-647
414,1.0,1.0,0.8,68,1656,1020,-636
415,0.0,0.0,0.0,68,1660,1020,-640
416,0.0,0.0,0.0,68,1664,1020,-644
417,0.0,0.0,0.0,68,1668,1020,-648
418,0.0,0.0,0.0,68,1672,1020,-652
419,0.0,0.0,0.0,68,1676,1020,-656
420,0.0,0.0,0.0,68,1680,1020,-660
421,0.0,0.0,0.0,68,1684,1020,-664
422,0.0,0.0,0.0,68,1688,1020,-668
423,0.0,0.0,0.0,68,1692,1020,-672
424,0.0,0.0,0.0,68,1696,1020,-676
425,1.0,1.0,1.0,69,1700,1035,-665
426,1.0,1.0,1.0,70,1704,1050,-654
427,1.0,1.0,1.0,71,1708,1065,-643
428,0.0,0.0,0.0,71,1712,1065,-647
429,0.0,0.0,0.0,71,1716,1065,-651
430,1.0,1.0,0.6666666666666666,72,1720,1080,-640
431,0.0,0.0,0.0,72,1724,1080,-644
432,0.0,0.0,0.0,72,1728,1080,-648
433,0.0,0.0,0.0,72,1732,1080,-652
434,1.0,0.0,0.3333333333333333,73,1736,1095,-641
435,1.0,1.0,1.0,74,1740,1110,-630
436,0.0,0.0,0.0,74,1744,1110,-634
437,0.0,0.0,0.0,74,1748,1110,-638
438,1.0,1.0,1.0,75,1752,1125,-627
439,0.0,0.0,0.0,75,1756,1125,-631
440,0.0,0.0,0.0,75,1760,1125,-635
441,0.0,0.0,0.0,75,1764,1125,-639
442,0.0,0.0,0.0,75,1768,1125,-643
443,1.0,1.0,1.0,76,1772,1140,-632
444,0.0,0.0,0.0,76,1776,1140,-636
445,0.0,0.0,0.0,76,1780,1140,-640
446,1.0,1.0,1.0,77,1784,1155,-629
447,0.0,0.0,0.0,77,1788,1155,-633
448,0.0,0.0,0.0,77,1792,1155,-637
449,1.0,1.0,0.6666666666666666,78,1796,1170,-626
450,0.0,0.0,0.0,78,1800,1170,-630
451,0.0,0.0,0.0,78,1804,1170,-634
452,0.0,0.0,0.0,78,1808,1170,-638
453,0.0,0.0,0.0,78,1812,1170,-642
454,1.0,1.0,1.0,79,1816,1185,-631
455,0.0,0.0,0.0,79,1820,1185,-635
456,0.0,0.0,0.0,79,1824,1185,-639
457,0.0,0.0,0.4,79,1828,1185,-643
458,1.0,1.0,1.0,80,1832,1200,-632
459,0.0,0.0,0.0,80,1836,1200,-636
460,0.0,0.0,0.0,80,1840,1200,-640
461,0.0,0.0,0.0,80,1844,1200,-644
462,0.0,0.0,0.0,80,1848,1200,-648
463,0.0,0.0,0.0,80,1852,1200,-652
464,0.0,0.0,0.0,80,1856,1200,-656
465,1.0,1.0,1.0,81,1860,1215,-645
466,0.0,0.0,0.5,81,1864,1215,-649
467,0.0,0.0,0.0,81,1868,1215,-653
468,0.0,0.0,0.3333333333333333,81,1872,1215,-657
469,0.0,0.0,0.2,81,1876,1215,-661
470,0.0,0.0,0.0,81,1880,1215,-665
471,1.0,1.0,0.8,82,1884,1230,-654
472,0.0,0.0,0.0,82,1888,1230,-658
473,0.0,0.0,0.0,82,1892,1230,-662
474,0.0,0.0,0.0,82,1896,1230,-666
475,0.0,0.0,0.0,82,1900,1230,-670
476,0.0,0.0,0.0,82,1904,1230,-674
477,0.0,0.0,0.0,82,1908,1230,-678
478,0.0,0.0,0.0,82,1912,1230,-682
479,0.0,0.0,0.0,82,1916,1230,-686
480,0.0,0.0,0.0,82,1920,1230,-690
481,0.0,0.0,0.0,82,1924,1230,-694
482,0.0,0.0,0.0,82,1928,1230,-698
483,0.0,0.0,0.0,82,1932,1230,-702
484,0.0,0.0,0.0,82,1936,1230,-706
485,0.0,0.0,0.0,82,1940,1230,-710
486,1.0,1.0,1.0,83,1944,1245,-699
487,0.0,0.0,0.0,83,1948,1245,-703
488,0.0,0.0,0.0,83,1952,1245,-707
489,0.0,0.0,0.0,83,1956,1245,-711
490,0.0,0.0,0.0,83,1960,1245,-715
491,0.0,1.0,0.6666666666666666,83,1964,1245,-719
492,0.0,0.0,0.0,83,1968,1245,-723
493,0.0,0.0,0.0,83,1972,1245,-727
494,1.0,1.0,0.6666666666666666,84,1976,1260,-716
495,0.0,0.0,0.0,84,1980,1260,-720
496,0.0,0.0,0.0,84,1984,1260,-724
497,0.0,0.0,0.0,84,1988,1260,-728
498,0.0,0.0,0.0,84,1992,1260,-732
499,0.0,0.0,0.0,84,1996,1260,-736
500,1.0,1.0,1.0,85,2000,1275,-725
501,0.0,0.0,0.0,85,2004,1275,-729
502,0.0,0.0,0.0,85,2008,1275,-733
503,1.0,1.0,1.0,86,2012,1290,-722
504,0.0,0.0,0.0,86,2016,1290,-726
505,0.0,0.0,0.0,86,2020,1290,-730
506,0.0,0.0,0.0,86,2024,1290,-734
507,0.0,0.0,0.0,86,2028,1290,-738
508,0.0,0.0,0.0,86,2032,1290,-742
509,0.0,0.0,0.0,86,2036,1290,-746
510,0.0,0.0,0.0,86,2040,1290,-750
511,0.0,0.0,0.3333333333333333,86,2044,1290,-754
512,0.0,0.0,0.0,86,2048,1290,-758
513,0.0,0.0,0.0,86,2052,1290,-762
514,0.0,0.0,0.0,86,2056,1290,-766
515,0.0,0.0,0.0,86,2060,1290,-770
516,0.0,0.0,0.0,86,2064,1290,-774
517,0.0,0.0,0.0,86,2068,1290,-778
518,0.0,0.0,0.0,86,2072,1290,-782
519,0.0,0.0,0.0,86,2076,1290,-786
520,1.0,0.0,0.2,87,2080,1305,-775
521,0.0,0.0,0.0,87,2084,1305,-779
522,1.0,1.0,0.6666666666666666,88,2088,1320,-768
523,0.0,0.0,0.0,88,2092,1320,-772
524,0.0,0.0,0.0,88,2096,1320,-776
525,0.0,0.0,0.0,88,2100,1320,-780
526,0.0,0.0,0.0,88,2104,1320,-784
527,0.0,0.0,0.0,88,2108,1320,-788
528,0.0,0.0,0.0,88,2112,1320,-792
529,0.0,0.0,0.0,88,2116,1320,-796
530,0.0,0.0,0.0,88,2120,1320,-800
531,0.0,0.0,0.0,88,2124,1320,-804
532,0.0,0.0,0.0,88,2128,1320,-808
533,0.0,0.0,0.0,88,2132,1320,-812
534,0.0,0.0,0.0,88,2136,1320,-816
535,0.0,0.0,0.0,88,2140,1320,-820
536,0.0,0.0,0.0,88,2144,1320,-824
537,0.0,0.0,0.0,88,2148,1320,-828
538,1.0,1.0,1.0,89,2152,1335,-817
539,0.0,0.0,0.0,89,2156,1335,-821
540,0.0,0.0,0.0,89,2160,1335,-825
541,0.0,0.0,0.0,89,2164,1335,-829
542,0.0,0.0,0.0,89,2168,1335,-833
543,1.0,1.0,1.0,90,2172,1350,-822
544,0.0,0.0,0.0,90,2176,1350,-826
545,0.0,0.0,0.0,90,2180,1350,-830
546,0.0,0.0,0.0,90,2184,1350,-834
547,0.0,0.0,0.0,90,2188,1350,-838
548,0.0,0.0,0.0,90,2192,1350,-842
549,0.0,0.0,0.0,90,2196,1350,-846
550,1.0,1.0,1.0,91,2200,1365,-835
551,0.0,0.0,0.0,91,2204,1365,-839
552,0.0,0.0,0.0,91,2208,1365,-843
553,1.0,1.0,1.0,92,2212,1380,-832
554,0.0,0.0,0.0,92,2216,1380,-836
555,0.0,0.0,0.2,92,2220,1380,-840
556,0.0,0.0,0.0,92,2224,1380,-844
557,0.0,0.0,0.0,92,2228,1380,-848
558,0.0,0.0,0.0,92,2232,1380,-852
559,0.0,0.0,0.0,92,2236,1380,-856
560,0.0,0.0,0.0,92,2240,1380,-860
561,0.0,0.0,0.0,92,2244,1380,-864
562,0.0,0.0,0.0,92,2248,1380,-868
563,0.0,0.0,0.0,92,2252,1380,-872
564,0.0,0.0,0.0,92,2256,1380,-876
565,0.0,0.0,0.0,92,2260,1380,-880
566,0.0,0.0,0.0,92,2264,1380,-884
567,0.0,0.0,0.0,92,2268,1380,-888
568,0.0,0.0,0.0,92,2272,1380,-892
569,0.0,0.0,0.0,92,2276,1380,-896
570,0.0,0.0,0.0,92,2280,1380,-900
571,0.0,0.0,0.0,92,2284,1380,-904
572,0.0,0.0,0.0,92,2288,1380,-908
573,0.0,0.0,0.0,92,2292,1380,-912
574,0.0,0.0,0.0,92,2296,1380,-916
575,0.0,0.0,0.0,92,2300,1380,-920
576,0.0,0.0,0.0,92,2304,1380,-924
577,0.0,0.0,0.0,92,2308,1380,-928
578,1.0,1.0,1.0,93,2312,1395,-917
579,0.0,0.0,0.0,93,2316,1395,-921
