index,actual,predicted,probability,cumul_pos,cost,revenue,profit
1942,1.0,1.0,1.0,230,920,3450,2530
1952,1.0,1.0,1.0,231,924,3465,2541
1955,1.0,1.0,1.0,232,928,3480,2552
1962,1.0,1.0,1.0,233,932,3495,2563
1964,1.0,1.0,1.0,234,936,3510,2574
1975,1.0,1.0,1.0,235,940,3525,2585
1978,1.0,1.0,1.0,236,944,3540,2596
1985,1.0,1.0,1.0,237,948,3555,2607
1988,1.0,1.0,1.0,238,952,3570,2618
1997,1.0,1.0,1.0,239,956,3585,2629
2007,1.0,1.0,1.0,240,960,3600,2640
2008,1.0,1.0,1.0,241,964,3615,2651
2012,1.0,1.0,1.0,242,968,3630,2662
2026,1.0,1.0,1.0,243,972,3645,2673
2033,1.0,1.0,1.0,244,976,3660,2684
2035,1.0,1.0,1.0,245,980,3675,2695
2052,1.0,1.0,1.0,246,984,3690,2706
2058,1.0,1.0,1.0,247,988,3705,2717
2083,1.0,1.0,1.0,248,992,3720,2728
2091,1.0,1.0,1.0,249,996,3735,2739
2108,1.0,1.0,1.0,250,1000,3750,2750
2130,1.0,1.0,1.0,251,1004,3765,2761
2138,1.0,1.0,1.0,252,1008,3780,2772
2147,1.0,1.0,1.0,253,1012,3795,2783
2153,1.0,1.0,1.0,254,1016,3810,2794
2158,1.0,1.0,1.0,255,1020,3825,2805
2160,1.0,1.0,1.0,256,1024,3840,2816
2166,1.0,1.0,1.0,257,1028,3855,2827
2171,1.0,1.0,1.0,258,1032,3870,2838
2175,1.0,1.0,1.0,259,1036,3885,2849
2182,1.0,1.0,1.0,260,1040,3900,2860
2185,1.0,1.0,1.0,261,1044,3915,2871
2200,1.0,1.0,1.0,262,1048,3930,2882
2204,1.0,1.0,1.0,263,1052,3945,2893
2209,1.0,1.0,1.0,264,1056,3960,2904
2210,1.0,1.0,1.0,265,1060,3975,2915
2215,1.0,1.0,1.0,266,1064,3990,2926
2218,1.0,1.0,1.0,267,1068,4005,2937
2226,1.0,1.0,1.0,268,1072,4020,2948
2229,1.0,1.0,1.0,269,1076,4035,2959
2231,1.0,1.0,1.0,270,1080,4050,2970
2233,1.0,1.0,1.0,271,1084,4065,2981
2237,1.0,1.0,1.0,272,1088,4080,2992
2240,1.0,1.0,1.0,273,1092,4095,3003
2245,1.0,1.0,1.0,274,1096,4110,3014
2247,1.0,1.0,1.0,275,1100,4125,3025
2249,1.0,1.0,1.0,276,1104,4140,3036
2250,1.0,1.0,1.0,277,1108,4155,3047
2255,1.0,1.0,1.0,278,1112,4170,3058
2258,1.0,1.0,1.0,279,1116,4185,3069
2261,1.0,1.0,1.0,280,1120,4200,3080
2269,1.0,1.0,1.0,281,1124,4215,3091
2277,1.0,1.0,1.0,282,1128,4230,3102
2292,1.0,1.0,1.0,283,1132,4245,3113
2327,1.0,1.0,1.0,284,1136,4260,3124
2332,1.0,1.0,1.0,285,1140,4275,3135
2333,1.0,1.0,1.0,286,1144,4290,3146
2334,1.0,1.0,1.0,287,1148,4305,3157
2338,1.0,1.0,1.0,288,1152,4320,3168
2355,1.0,1.0,1.0,289,1156,4335,3179
2359,1.0,1.0,1.0,290,1160,4350,3190
2376,1.0,1.0,1.0,291,1164,4365,3201
2392,1.0,1.0,1.0,292,1168,4380,3212
2393,1.0,1.0,1.0,293,1172,4395,3223
2406,1.0,1.0,1.0,294,1176,4410,3234
2421,1.0,1.0,1.0,295,1180,4425,3245
2427,1.0,1.0,1.0,296,1184,4440,3256
2433,1.0,1.0,1.0,297,1188,4455,3267
2444,1.0,1.0,1.0,298,1192,4470,3278
2461,1.0,1.0,1.0,299,1196,4485,3289
2478,1.0,1.0,1.0,300,1200,4500,3300
2487,1.0,1.0,1.0,301,1204,4515,3311
2494,1.0,1.0,1.0,302,1208,4530,3322
2497,1.0,1.0,1.0,303,1212,4545,3333
2511,1.0,1.0,1.0,304,1216,4560,3344
2513,1.0,1.0,1.0,305,1220,4575,3355
2516,1.0,1.0,1.0,306,1224,4590,3366
2520,1.0,1.0,1.0,307,1228,4605,3377
2523,1.0,1.0,1.0,308,1232,4620,3388
2529,1.0,1.0,1.0,309,1236,4635,3399
2530,1.0,1.0,1.0,310,1240,4650,3410
2531,1.0,1.0,1.0,311,1244,4665,3421
2543,1.0,1.0,1.0,312,1248,4680,3432
2544,1.0,1.0,1.0,313,1252,4695,3443
2546,1.0,1.0,1.0,314,1256,4710,3454
2552,1.0,1.0,1.0,315,1260,4725,3465
2565,1.0,1.0,1.0,316,1264,4740,3476
2575,1.0,1.0,1.0,317,1268,4755,3487
2577,1.0,1.0,1.0,318,1272,4770,3498
2585,1.0,1.0,1.0,319,1276,4785,3509
2587,1.0,1.0,1.0,320,1280,4800,3520
2592,1.0,1.0,1.0,321,1284,4815,3531
2622,1.0,1.0,1.0,322,1288,4830,3542
2640,1.0,1.0,1.0,323,1292,4845,3553
2644,1.0,1.0,1.0,324,1296,4860,3564
2648,1.0,1.0,1.0,325,1300,4875,3575
2656,1.0,1.0,1.0,326,1304,4890,3586
2657,1.0,1.0,1.0,327,1308,4905,3597
2658,1.0,1.0,1.0,328,1312,4920,3608
2667,1.0,1.0,1.0,329,1316,4935,3619
2668,1.0,1.0,1.0,330,1320,4950,3630
2678,1.0,1.0,1.0,331,1324,4965,3641
2679,1.0,1.0,1.0,332,1328,4980,3652
2684,1.0,1.0,1.0,333,1332,4995,3663
2686,1.0,1.0,1.0,334,1336,5010,3674
2751,1.0,1.0,1.0,335,1340,5025,3685
2752,1.0,1.0,1.0,336,1344,5040,3696
2760,1.0,1.0,1.0,337,1348,5055,3707
2770,1.0,1.0,1.0,338,1352,5070,3718
2789,1.0,1.0,1.0,339,1356,5085,3729
2795,1.0,1.0,1.0,340,1360,5100,3740
2803,1.0,1.0,1.0,341,1364,5115,3751
2813,1.0,1.0,1.0,342,1368,5130,3762
2818,1.0,1.0,1.0,343,1372,5145,3773
2823,1.0,1.0,1.0,344,1376,5160,3784
2824,1.0,1.0,1.0,345,1380,5175,3795
2825,1.0,1.0,1.0,346,1384,5190,3806
2837,1.0,1.0,1.0,347,1388,5205,3817
2852,1.0,1.0,1.0,348,1392,5220,3828
2854,1.0,1.0,1.0,349,1396,5235,3839
2859,1.0,1.0,1.0,350,1400,5250,3850
2862,1.0,1.0,1.0,351,1404,5265,3861
2872,1.0,1.0,1.0,352,1408,5280,3872
2878,1.0,1.0,1.0,353,1412,5295,3883
2881,1.0,1.0,1.0,354,1416,5310,3894
2900,1.0,1.0,1.0,355,1420,5325,3905
2925,1.0,1.0,1.0,356,1424,5340,3916
2930,1.0,1.0,1.0,357,1428,5355,3927
2934,1.0,1.0,1.0,358,1432,5370,3938
2941,1.0,1.0,1.0,359,1436,5385,3949
2953,1.0,1.0,1.0,360,1440,5400,3960
2966,1.0,1.0,1.0,361,1444,5415,3971
2970,1.0,1.0,1.0,362,1448,5430,3982
2978,1.0,1.0,1.0,363,1452,5445,3993
2988,1.0,1.0,1.0,364,1456,5460,4004
3004,1.0,1.0,1.0,365,1460,5475,4015
3013,1.0,1.0,1.0,366,1464,5490,4026
3017,1.0,1.0,1.0,367,1468,5505,4037
3024,1.0,1.0,1.0,368,1472,5520,4048
3026,1.0,1.0,1.0,369,1476,5535,4059
3029,1.0,1.0,1.0,370,1480,5550,4070
3043,1.0,1.0,1.0,371,1484,5565,4081
3054,1.0,1.0,1.0,372,1488,5580,4092
3055,1.0,1.0,1.0,373,1492,5595,4103
3063,1.0,1.0,1.0,374,1496,5610,4114
3065,1.0,1.0,1.0,375,1500,5625,4125
3125,1.0,1.0,1.0,376,1504,5640,4136
3157,1.0,1.0,1.0,377,1508,5655,4147
3159,1.0,1.0,1.0,378,1512,5670,4158
3163,1.0,1.0,1.0,379,1516,5685,4169
3165,1.0,1.0,1.0,380,1520,5700,4180
3186,1.0,1.0,1.0,381,1524,5715,4191
3189,1.0,1.0,1.0,382,1528,5730,4202
3208,1.0,1.0,1.0,383,1532,5745,4213
3227,1.0,1.0,1.0,384,1536,5760,4224
3243,1.0,1.0,1.0,385,1540,5775,4235
3246,1.0,1.0,1.0,386,1544,5790,4246
3272,1.0,1.0,1.0,387,1548,5805,4257
3284,1.0,1.0,1.0,388,1552,5820,4268
3293,1.0,1.0,1.0,389,1556,5835,4279
3296,1.0,1.0,1.0,390,1560,5850,4290
3297,1.0,1.0,1.0,391,1564,5865,4301
3303,1.0,1.0,1.0,392,1568,5880,4312
3304,1.0,1.0,1.0,393,1572,5895,4323
3310,1.0,1.0,1.0,394,1576,5910,4334
3313,1.0,1.0,1.0,395,1580,5925,4345
3319,1.0,1.0,1.0,396,1584,5940,4356
3320,1.0,1.0,1.0,397,1588,5955,4367
3323,1.0,1.0,1.0,398,1592,5970,4378
3334,1.0,1.0,1.0,399,1596,5985,4389
3343,1.0,1.0,1.0,400,1600,6000,4400
3346,1.0,1.0,1.0,401,1604,6015,4411
3350,1.0,1.0,1.0,402,1608,6030,4422
3351,1.0,1.0,1.0,403,1612,6045,4433
3362,1.0,1.0,1.0,404,1616,6060,4444
3363,1.0,1.0,1.0,405,1620,6075,4455
3367,1.0,1.0,1.0,406,1624,6090,4466
3379,1.0,1.0,1.0,407,1628,6105,4477
3415,1.0,1.0,1.0,408,1632,6120,4488
3418,1.0,1.0,1.0,409,1636,6135,4499
3453,1.0,1.0,1.0,410,1640,6150,4510
3461,1.0,1.0,1.0,411,1644,6165,4521
3474,1.0,1.0,1.0,412,1648,6180,4532
3475,1.0,1.0,1.0,413,1652,6195,4543
3478,1.0,1.0,1.0,414,1656,6210,4554
3479,1.0,1.0,1.0,415,1660,6225,4565
3485,1.0,1.0,1.0,416,1664,6240,4576
3486,1.0,1.0,1.0,417,1668,6255,4587
3512,1.0,1.0,1.0,418,1672,6270,4598
3514,1.0,1.0,1.0,419,1676,6285,4609
3527,1.0,1.0,1.0,420,1680,6300,4620
3541,1.0,1.0,1.0,421,1684,6315,4631
3552,1.0,1.0,1.0,422,1688,6330,4642
3556,1.0,1.0,1.0,423,1692,6345,4653
3586,1.0,1.0,1.0,424,1696,6360,4664
3587,1.0,1.0,1.0,425,1700,6375,4675
3588,1.0,1.0,1.0,426,1704,6390,4686
3593,1.0,1.0,1.0,427,1708,6405,4697
3600,1.0,1.0,1.0,428,1712,6420,4708
3606,1.0,1.0,1.0,429,1716,6435,4719
3616,1.0,1.0,1.0,430,1720,6450,4730
3624,1.0,1.0,1.0,431,1724,6465,4741
3628,1.0,1.0,1.0,432,1728,6480,4752
3630,1.0,1.0,1.0,433,1732,6495,4763
3644,1.0,1.0,1.0,434,1736,6510,4774
3645,1.0,1.0,1.0,435,1740,6525,4785
3650,1.0,1.0,1.0,436,1744,6540,4796
3665,1.0,1.0,1.0,437,1748,6555,4807
3672,1.0,1.0,1.0,438,1752,6570,4818
3673,1.0,1.0,1.0,439,1756,6585,4829
3685,1.0,1.0,1.0,440,1760,6600,4840
3700,1.0,1.0,1.0,441,1764,6615,4851
3706,1.0,1.0,1.0,442,1768,6630,4862
3713,1.0,1.0,1.0,443,1772,6645,4873
3716,1.0,1.0,1.0,444,1776,6660,4884
3718,1.0,1.0,1.0,445,1780,6675,4895
3720,1.0,1.0,1.0,446,1784,6690,4906
3733,1.0,1.0,1.0,447,1788,6705,4917
3734,1.0,1.0,1.0,448,1792,6720,4928
3737,1.0,1.0,1.0,449,1796,6735,4939
3739,1.0,1.0,1.0,450,1800,6750,4950
3745,1.0,1.0,1.0,451,1804,6765,4961
3787,1.0,1.0,1.0,452,1808,6780,4972
3798,1.0,1.0,1.0,453,1812,6795,4983
3799,1.0,1.0,1.0,454,1816,6810,4994
3804,1.0,1.0,1.0,455,1820,6825,5005
3808,1.0,1.0,1.0,456,1824,6840,5016
3824,1.0,1.0,1.0,457,1828,6855,5027
3825,1.0,1.0,1.0,458,1832,6870,5038
3833,1.0,1.0,1.0,459,1836,6885,5049
3835,1.0,1.0,1.0,460,1840,6900,5060
3836,1.0,1.0,1.0,461,1844,6915,5071
3837,1.0,1.0,1.0,462,1848,6930,5082
3843,1.0,1.0,1.0,463,1852,6945,5093
3846,1.0,1.0,1.0,464,1856,6960,5104
3850,1.0,1.0,1.0,465,1860,6975,5115
3856,1.0,1.0,1.0,466,1864,6990,5126
3866,1.0,1.0,1.0,467,1868,7005,5137
3869,1.0,1.0,1.0,468,1872,7020,5148
3888,1.0,1.0,1.0,469,1876,7035,5159
3898,1.0,1.0,1.0,470,1880,7050,5170
3918,1.0,1.0,1.0,471,1884,7065,5181
3925,1.0,1.0,1.0,472,1888,7080,5192
3927,1.0,1.0,1.0,473,1892,7095,5203
3928,1.0,1.0,1.0,474,1896,7110,5214
3931,1.0,1.0,1.0,475,1900,7125,5225
3934,1.0,1.0,1.0,476,1904,7140,5236
3941,1.0,1.0,1.0,477,1908,7155,5247
3949,1.0,1.0,1.0,478,1912,7170,5258
3969,1.0,1.0,1.0,479,1916,7185,5269
3973,1.0,1.0,1.0,480,1920,7200,5280
3977,1.0,1.0,1.0,481,1924,7215,5291
3994,1.0,1.0,1.0,482,1928,7230,5302
3999,1.0,1.0,1.0,483,1932,7245,5313
4007,1.0,1.0,1.0,484,1936,7260,5324
4016,1.0,1.0,1.0,485,1940,7275,5335
4021,1.0,1.0,1.0,486,1944,7290,5346
4027,1.0,1.0,1.0,487,1948,7305,5357
4041,1.0,1.0,1.0,488,1952,7320,5368
4046,1.0,1.0,1.0,489,1956,7335,5379
4055,1.0,1.0,1.0,490,1960,7350,5390
4056,1.0,1.0,1.0,491,1964,7365,5401
4059,1.0,1.0,1.0,492,1968,7380,5412
4064,1.0,1.0,1.0,493,1972,7395,5423
4067,1.0,1.0,1.0,494,1976,7410,5434
4079,1.0,1.0,1.0,495,1980,7425,5445
4092,1.0,1.0,1.0,496,1984,7440,5456
4099,1.0,1.0,1.0,497,1988,7455,5467
4100,1.0,1.0,1.0,498,1992,7470,5478
4121,1.0,1.0,1.0,499,1996,7485,5489
4138,1.0,1.0,1.0,500,2000,7500,5500
4141,1.0,1.0,1.0,501,2004,7515,5511
4143,1.0,1.0,1.0,502,2008,7530,5522
4147,1.0,1.0,1.0,503,2012,7545,5533
4152,1.0,1.0,1.0,504,2016,7560,5544
4158,1.0,1.0,1.0,505,2020,7575,5555
4161,1.0,1.0,1.0,506,2024,7590,5566
4171,1.0,1.0,1.0,507,2028,7605,5577
4197,1.0,1.0,1.0,508,2032,7620,5588
4200,1.0,1.0,1.0,509,2036,7635,5599
4212,1.0,1.0,1.0,510,2040,7650,5610
4216,1.0,1.0,1.0,511,2044,7665,5621
4218,1.0,1.0,1.0,512,2048,7680,5632
4244,1.0,1.0,1.0,513,2052,7695,5643
4245,1.0,1.0,1.0,514,2056,7710,5654
4259,1.0,1.0,1.0,515,2060,7725,5665
4267,1.0,1.0,1.0,516,2064,7740,5676
4279,1.0,1.0,1.0,517,2068,7755,5687
4280,1.0,1.0,1.0,518,2072,7770,5698
4281,1.0,1.0,1.0,519,2076,7785,5709
4285,1.0,1.0,1.0,520,2080,7800,5720
4291,1.0,1.0,1.0,521,2084,7815,5731
4292,1.0,1.0,1.0,522,2088,7830,5742
4294,1.0,1.0,1.0,523,2092,7845,5753
4305,1.0,1.0,1.0,524,2096,7860,5764
4314,1.0,1.0,1.0,525,2100,7875,5775
4343,1.0,1.0,1.0,526,2104,7890,5786
4351,1.0,1.0,1.0,527,2108,7905,5797
4352,1.0,1.0,1.0,528,2112,7920,5808
4359,1.0,1.0,1.0,529,2116,7935,5819
4371,1.0,1.0,1.0,530,2120,7950,5830
4375,1.0,1.0,1.0,531,2124,7965,5841
4389,1.0,1.0,1.0,532,2128,7980,5852
4393,1.0,1.0,1.0,533,2132,7995,5863
4395,1.0,1.0,1.0,534,2136,8010,5874
4409,1.0,1.0,1.0,535,2140,8025,5885
4413,1.0,1.0,1.0,536,2144,8040,5896
4417,1.0,1.0,1.0,537,2148,8055,5907
4418,1.0,1.0,1.0,538,2152,8070,5918
4428,1.0,1.0,1.0,539,2156,8085,5929
4429,1.0,1.0,1.0,540,2160,8100,5940
4434,1.0,1.0,1.0,541,2164,8115,5951
4447,1.0,1.0,1.0,542,2168,8130,5962
4452,1.0,1.0,1.0,543,2172,8145,5973
4457,1.0,1.0,1.0,544,2176,8160,5984
4459,1.0,1.0,1.0,545,2180,8175,5995
4463,1.0,1.0,1.0,546,2184,8190,6006
4490,1.0,1.0,1.0,547,2188,8205,6017
4495,1.0,1.0,1.0,548,2192,8220,6028
4500,1.0,1.0,1.0,549,2196,8235,6039
4510,1.0,1.0,1.0,550,2200,8250,6050
4520,1.0,1.0,1.0,551,2204,8265,6061
4535,1.0,1.0,1.0,552,2208,8280,6072
4576,1.0,1.0,1.0,553,2212,8295,6083
4585,1.0,1.0,1.0,554,2216,8310,6094
4591,1.0,1.0,1.0,555,2220,8325,6105
4594,1.0,1.0,1.0,556,2224,8340,6116
