index,actual,predicted,probability,cumul_pos
1574,1.0,1.0,1.0,181
1578,1.0,1.0,1.0,182
1584,1.0,1.0,1.0,183
1588,1.0,1.0,1.0,184
1589,1.0,1.0,1.0,185
1590,1.0,1.0,1.0,186
1598,1.0,1.0,1.0,187
1606,1.0,1.0,1.0,188
1608,1.0,1.0,1.0,189
1635,1.0,1.0,1.0,190
1636,1.0,1.0,1.0,191
1641,1.0,1.0,1.0,192
1653,1.0,1.0,1.0,193
1660,1.0,1.0,1.0,194
1667,1.0,1.0,1.0,195
1682,1.0,1.0,1.0,196
1684,1.0,1.0,1.0,197
1691,1.0,1.0,1.0,198
1698,1.0,1.0,1.0,199
1701,1.0,1.0,1.0,200
1729,1.0,1.0,1.0,201
1734,1.0,1.0,1.0,202
1736,1.0,1.0,1.0,203
1757,1.0,1.0,1.0,204
1765,1.0,1.0,1.0,205
1767,1.0,1.0,1.0,206
1774,1.0,1.0,1.0,207
1782,1.0,1.0,1.0,208
1787,1.0,1.0,1.0,209
1790,1.0,1.0,1.0,210
1798,1.0,1.0,1.0,211
1800,1.0,1.0,1.0,212
1813,1.0,1.0,1.0,213
1822,1.0,1.0,1.0,214
1825,1.0,1.0,1.0,215
1831,1.0,1.0,1.0,216
1870,1.0,1.0,1.0,217
1872,1.0,1.0,1.0,218
1882,1.0,1.0,1.0,219
1884,1.0,1.0,1.0,220
1900,1.0,1.0,1.0,221
1902,1.0,1.0,1.0,222
1906,1.0,1.0,1.0,223
1907,1.0,1.0,1.0,224
1909,1.0,1.0,1.0,225
1918,1.0,1.0,1.0,226
1924,1.0,1.0,1.0,227
1928,1.0,1.0,1.0,228
1930,1.0,1.0,1.0,229
1942,1.0,1.0,1.0,230
1952,1.0,1.0,1.0,231
1955,1.0,1.0,1.0,232
1962,1.0,1.0,1.0,233
1964,1.0,1.0,1.0,234
1975,1.0,1.0,1.0,235
1978,1.0,1.0,1.0,236
1985,1.0,1.0,1.0,237
1988,1.0,1.0,1.0,238
1997,1.0,1.0,1.0,239
2007,1.0,1.0,1.0,240
2008,1.0,1.0,1.0,241
2012,1.0,1.0,1.0,242
2026,1.0,1.0,1.0,243
2033,1.0,1.0,1.0,244
2035,1.0,1.0,1.0,245
2052,1.0,1.0,1.0,246
2058,1.0,1.0,1.0,247
2083,1.0,1.0,1.0,248
2091,1.0,1.0,1.0,249
2108,1.0,1.0,1.0,250
2130,1.0,1.0,1.0,251
2138,1.0,1.0,1.0,252
2147,1.0,1.0,1.0,253
2153,1.0,1.0,1.0,254
2158,1.0,1.0,1.0,255
2160,1.0,1.0,1.0,256
2166,1.0,1.0,1.0,257
2171,1.0,1.0,1.0,258
2175,1.0,1.0,1.0,259
2182,1.0,1.0,1.0,260
2185,1.0,1.0,1.0,261
2200,1.0,1.0,1.0,262
2204,1.0,1.0,1.0,263
2209,1.0,1.0,1.0,264
2210,1.0,1.0,1.0,265
2215,1.0,1.0,1.0,266
2218,1.0,1.0,1.0,267
2226,1.0,1.0,1.0,268
2229,1.0,1.0,1.0,269
2231,1.0,1.0,1.0,270
2233,1.0,1.0,1.0,271
2237,1.0,1.0,1.0,272
2240,1.0,1.0,1.0,273
2245,1.0,1.0,1.0,274
2247,1.0,1.0,1.0,275
2249,1.0,1.0,1.0,276
2250,1.0,1.0,1.0,277
2255,1.0,1.0,1.0,278
2258,1.0,1.0,1.0,279
2261,1.0,1.0,1.0,280
2269,1.0,1.0,1.0,281
2277,1.0,1.0,1.0,282
2292,1.0,1.0,1.0,283
2327,1.0,1.0,1.0,284
2332,1.0,1.0,1.0,285
2333,1.0,1.0,1.0,286
2334,1.0,1.0,1.0,287
2338,1.0,1.0,1.0,288
2355,1.0,1.0,1.0,289
2359,1.0,1.0,1.0,290
2376,1.0,1.0,1.0,291
2392,1.0,1.0,1.0,292
2393,1.0,1.0,1.0,293
2406,1.0,1.0,1.0,294
2421,1.0,1.0,1.0,295
2427,1.0,1.0,1.0,296
2433,1.0,1.0,1.0,297
2444,1.0,1.0,1.0,298
2461,1.0,1.0,1.0,299
2478,1.0,1.0,1.0,300
2487,1.0,1.0,1.0,301
2494,1.0,1.0,1.0,302
2497,1.0,1.0,1.0,303
2511,1.0,1.0,1.0,304
2513,1.0,1.0,1.0,305
2516,1.0,1.0,1.0,306
2520,1.0,1.0,1.0,307
2523,1.0,1.0,1.0,308
2529,1.0,1.0,1.0,309
2530,1.0,1.0,1.0,310
2531,1.0,1.0,1.0,311
2543,1.0,1.0,1.0,312
2544,1.0,1.0,1.0,313
2546,1.0,1.0,1.0,314
2552,1.0,1.0,1.0,315
2565,1.0,1.0,1.0,316
2575,1.0,1.0,1.0,317
2577,1.0,1.0,1.0,318
2585,1.0,1.0,1.0,319
2587,1.0,1.0,1.0,320
2592,1.0,1.0,1.0,321
2622,1.0,1.0,1.0,322
2640,1.0,1.0,1.0,323
2644,1.0,1.0,1.0,324
2648,1.0,1.0,1.0,325
2656,1.0,1.0,1.0,326
2657,1.0,1.0,1.0,327
2658,1.0,1.0,1.0,328
2667,1.0,1.0,1.0,329
2668,1.0,1.0,1.0,330
2678,1.0,1.0,1.0,331
2679,1.0,1.0,1.0,332
2684,1.0,1.0,1.0,333
2686,1.0,1.0,1.0,334
2751,1.0,1.0,1.0,335
2752,1.0,1.0,1.0,336
2760,1.0,1.0,1.0,337
2770,1.0,1.0,1.0,338
2789,1.0,1.0,1.0,339
2795,1.0,1.0,1.0,340
2803,1.0,1.0,1.0,341
2813,1.0,1.0,1.0,342
2818,1.0,1.0,1.0,343
2823,1.0,1.0,1.0,344
2824,1.0,1.0,1.0,345
2825,1.0,1.0,1.0,346
2837,1.0,1.0,1.0,347
2852,1.0,1.0,1.0,348
2854,1.0,1.0,1.0,349
2859,1.0,1.0,1.0,350
2862,1.0,1.0,1.0,351
2872,1.0,1.0,1.0,352
2878,1.0,1.0,1.0,353
2881,1.0,1.0,1.0,354
2900,1.0,1.0,1.0,355
2925,1.0,1.0,1.0,356
2930,1.0,1.0,1.0,357
2934,1.0,1.0,1.0,358
2941,1.0,1.0,1.0,359
2953,1.0,1.0,1.0,360
2966,1.0,1.0,1.0,361
2970,1.0,1.0,1.0,362
2978,1.0,1.0,1.0,363
2988,1.0,1.0,1.0,364
3004,1.0,1.0,1.0,365
3013,1.0,1.0,1.0,366
3017,1.0,1.0,1.0,367
3024,1.0,1.0,1.0,368
3026,1.0,1.0,1.0,369
3029,1.0,1.0,1.0,370
3043,1.0,1.0,1.0,371
3054,1.0,1.0,1.0,372
3055,1.0,1.0,1.0,373
3063,1.0,1.0,1.0,374
3065,1.0,1.0,1.0,375
3125,1.0,1.0,1.0,376
3157,1.0,1.0,1.0,377
3159,1.0,1.0,1.0,378
3163,1.0,1.0,1.0,379
3165,1.0,1.0,1.0,380
3186,1.0,1.0,1.0,381
3189,1.0,1.0,1.0,382
3208,1.0,1.0,1.0,383
3227,1.0,1.0,1.0,384
3243,1.0,1.0,1.0,385
3246,1.0,1.0,1.0,386
3272,1.0,1.0,1.0,387
3284,1.0,1.0,1.0,388
3293,1.0,1.0,1.0,389
3296,1.0,1.0,1.0,390
3297,1.0,1.0,1.0,391
3303,1.0,1.0,1.0,392
3304,1.0,1.0,1.0,393
3310,1.0,1.0,1.0,394
3313,1.0,1.0,1.0,395
3319,1.0,1.0,1.0,396
3320,1.0,1.0,1.0,397
3323,1.0,1.0,1.0,398
3334,1.0,1.0,1.0,399
3343,1.0,1.0,1.0,400
3346,1.0,1.0,1.0,401
3350,1.0,1.0,1.0,402
3351,1.0,1.0,1.0,403
3362,1.0,1.0,1.0,404
3363,1.0,1.0,1.0,405
3367,1.0,1.0,1.0,406
3379,1.0,1.0,1.0,407
3415,1.0,1.0,1.0,408
3418,1.0,1.0,1.0,409
3453,1.0,1.0,1.0,410
3461,1.0,1.0,1.0,411
3474,1.0,1.0,1.0,412
3475,1.0,1.0,1.0,413
3478,1.0,1.0,1.0,414
3479,1.0,1.0,1.0,415
3485,1.0,1.0,1.0,416
3486,1.0,1.0,1.0,417
3512,1.0,1.0,1.0,418
3514,1.0,1.0,1.0,419
3527,1.0,1.0,1.0,420
3541,1.0,1.0,1.0,421
3552,1.0,1.0,1.0,422
3556,1.0,1.0,1.0,423
3586,1.0,1.0,1.0,424
3587,1.0,1.0,1.0,425
3588,1.0,1.0,1.0,426
3593,1.0,1.0,1.0,427
3600,1.0,1.0,1.0,428
3606,1.0,1.0,1.0,429
3616,1.0,1.0,1.0,430
3624,1.0,1.0,1.0,431
3628,1.0,1.0,1.0,432
3630,1.0,1.0,1.0,433
3644,1.0,1.0,1.0,434
3645,1.0,1.0,1.0,435
3650,1.0,1.0,1.0,436
3665,1.0,1.0,1.0,437
3672,1.0,1.0,1.0,438
3673,1.0,1.0,1.0,439
3685,1.0,1.0,1.0,440
3700,1.0,1.0,1.0,441
3706,1.0,1.0,1.0,442
3713,1.0,1.0,1.0,443
3716,1.0,1.0,1.0,444
3718,1.0,1.0,1.0,445
3720,1.0,1.0,1.0,446
3733,1.0,1.0,1.0,447
3734,1.0,1.0,1.0,448
3737,1.0,1.0,1.0,449
3739,1.0,1.0,1.0,450
3745,1.0,1.0,1.0,451
3787,1.0,1.0,1.0,452
3798,1.0,1.0,1.0,453
3799,1.0,1.0,1.0,454
3804,1.0,1.0,1.0,455
3808,1.0,1.0,1.0,456
3824,1.0,1.0,1.0,457
3825,1.0,1.0,1.0,458
3833,1.0,1.0,1.0,459
3835,1.0,1.0,1.0,460
3836,1.0,1.0,1.0,461
3837,1.0,1.0,1.0,462
3843,1.0,1.0,1.0,463
3846,1.0,1.0,1.0,464
3850,1.0,1.0,1.0,465
3856,1.0,1.0,1.0,466
3866,1.0,1.0,1.0,467
3869,1.0,1.0,1.0,468
3888,1.0,1.0,1.0,469
3898,1.0,1.0,1.0,470
3918,1.0,1.0,1.0,471
3925,1.0,1.0,1.0,472
3927,1.0,1.0,1.0,473
3928,1.0,1.0,1.0,474
3931,1.0,1.0,1.0,475
3934,1.0,1.0,1.0,476
3941,1.0,1.0,1.0,477
3949,1.0,1.0,1.0,478
3969,1.0,1.0,1.0,479
3973,1.0,1.0,1.0,480
3977,1.0,1.0,1.0,481
3994,1.0,1.0,1.0,482
3999,1.0,1.0,1.0,483
4007,1.0,1.0,1.0,484
4016,1.0,1.0,1.0,485
4021,1.0,1.0,1.0,486
4027,1.0,1.0,1.0,487
4041,1.0,1.0,1.0,488
4046,1.0,1.0,1.0,489
4055,1.0,1.0,1.0,490
4056,1.0,1.0,1.0,491
4059,1.0,1.0,1.0,492
4064,1.0,1.0,1.0,493
4067,1.0,1.0,1.0,494
4079,1.0,1.0,1.0,495
4092,1.0,1.0,1.0,496
4099,1.0,1.0,1.0,497
4100,1.0,1.0,1.0,498
4121,1.0,1.0,1.0,499
4138,1.0,1.0,1.0,500
4141,1.0,1.0,1.0,501
4143,1.0,1.0,1.0,502
4147,1.0,1.0,1.0,503
4152,1.0,1.0,1.0,504
4158,1.0,1.0,1.0,505
4161,1.0,1.0,1.0,506
4171,1.0,1.0,1.0,507
4197,1.0,1.0,1.0,508
4200,1.0,1.0,1.0,509
4212,1.0,1.0,1.0,510
4216,1.0,1.0,1.0,511
4218,1.0,1.0,1.0,512
4244,1.0,1.0,1.0,513
4245,1.0,1.0,1.0,514
4259,1.0,1.0,1.0,515
4267,1.0,1.0,1.0,516
4279,1.0,1.0,1.0,517
4280,1.0,1.0,1.0,518
4281,1.0,1.0,1.0,519
4285,1.0,1.0,1.0,520
4291,1.0,1.0,1.0,521
4292,1.0,1.0,1.0,522
4294,1.0,1.0,1.0,523
4305,1.0,1.0,1.0,524
4314,1.0,1.0,1.0,525
4343,1.0,1.0,1.0,526
4351,1.0,1.0,1.0,527
4352,1.0,1.0,1.0,528
4359,1.0,1.0,1.0,529
4371,1.0,1.0,1.0,530
4375,1.0,1.0,1.0,531
4389,1.0,1.0,1.0,532
4393,1.0,1.0,1.0,533
4395,1.0,1.0,1.0,534
4409,1.0,1.0,1.0,535
4413,1.0,1.0,1.0,536
4417,1.0,1.0,1.0,537
4418,1.0,1.0,1.0,538
4428,1.0,1.0,1.0,539
4429,1.0,1.0,1.0,540
4434,1.0,1.0,1.0,541
4447,1.0,1.0,1.0,542
4452,1.0,1.0,1.0,543
4457,1.0,1.0,1.0,544
4459,1.0,1.0,1.0,545
4463,1.0,1.0,1.0,546
4490,1.0,1.0,1.0,547
4495,1.0,1.0,1.0,548
4500,1.0,1.0,1.0,549
4510,1.0,1.0,1.0,550
4520,1.0,1.0,1.0,551
4535,1.0,1.0,1.0,552
4576,1.0,1.0,1.0,553
4585,1.0,1.0,1.0,554
4591,1.0,1.0,1.0,555
4594,1.0,1.0,1.0,556
4596,1.0,1.0,1.0,557
4599,1.0,1.0,1.0,558
4607,1.0,1.0,1.0,559
4612,1.0,1.0,1.0,560
4613,1.0,1.0,1.0,561
4623,1.0,1.0,1.0,562
4632,1.0,1.0,1.0,563
4639,1.0,1.0,1.0,564
4653,1.0,1.0,1.0,565
4657,1.0,1.0,1.0,566
4663,1.0,1.0,1.0,567
4674,1.0,1.0,1.0,568
4680,1.0,1.0,1.0,569
4683,1.0,1.0,1.0,570
4685,1.0,1.0,1.0,571
4701,1.0,1.0,1.0,572
4705,1.0,1.0,1.0,573
4707,1.0,1.0,1.0,574
4722,1.0,1.0,1.0,575
4724,1.0,1.0,1.0,576
4730,1.0,1.0,1.0,577
4742,1.0,1.0,1.0,578
4749,1.0,1.0,1.0,579
4771,1.0,1.0,1.0,580
4777,1.0,1.0,1.0,581
4782,1.0,1.0,1.0,582
4792,1.0,1.0,1.0,583
4796,1.0,1.0,1.0,584
4806,1.0,1.0,1.0,585
4807,1.0,1.0,1.0,586
4814,1.0,1.0,1.0,587
4859,1.0,1.0,1.0,588
4870,1.0,1.0,1.0,589
4873,1.0,1.0,1.0,590
4885,1.0,1.0,1.0,591
4887,1.0,1.0,1.0,592
4892,1.0,1.0,1.0,593
4897,1.0,1.0,1.0,594
4899,1.0,1.0,1.0,595
4901,1.0,1.0,1.0,596
4945,1.0,1.0,1.0,597
4946,1.0,1.0,1.0,598
4974,1.0,1.0,1.0,599
4979,1.0,1.0,1.0,600
4983,1.0,1.0,1.0,601
4990,1.0,1.0,1.0,602
5000,1.0,1.0,1.0,603
5002,1.0,1.0,1.0,604
5015,1.0,1.0,1.0,605
5019,1.0,1.0,1.0,606
5025,1.0,1.0,1.0,607
5049,1.0,1.0,1.0,608
5060,1.0,1.0,1.0,609
5063,1.0,1.0,1.0,610
5078,1.0,1.0,1.0,611
5081,1.0,1.0,1.0,612
5086,1.0,1.0,1.0,613
5093,1.0,1.0,1.0,614
5106,1.0,1.0,1.0,615
5122,1.0,1.0,1.0,616
5124,1.0,1.0,1.0,617
5139,1.0,1.0,1.0,618
5172,1.0,1.0,1.0,619
5176,1.0,1.0,1.0,620
5180,1.0,1.0,1.0,621
5185,1.0,1.0,1.0,622
5189,1.0,1.0,1.0,623
5213,1.0,1.0,1.0,624
5218,1.0,1.0,1.0,625
5220,1.0,1.0,1.0,626
5226,1.0,1.0,1.0,627
5250,1.0,1.0,1.0,628
5257,1.0,1.0,1.0,629
5261,1.0,1.0,1.0,630
5264,1.0,1.0,1.0,631
5273,1.0,1.0,1.0,632
5282,1.0,1.0,1.0,633
5287,1.0,1.0,1.0,634
5289,1.0,1.0,1.0,635
5301,1.0,1.0,1.0,636
5302,1.0,1.0,1.0,637
5304,1.0,1.0,1.0,638
5316,1.0,1.0,1.0,639
5325,1.0,1.0,1.0,640
5339,1.0,1.0,1.0,641
5347,1.0,1.0,1.0,642
5361,1.0,1.0,1.0,643
5383,1.0,1.0,1.0,644
5403,1.0,1.0,1.0,645
5404,1.0,1.0,1.0,646
5410,1.0,1.0,1.0,647
5415,1.0,1.0,1.0,648
5438,1.0,1.0,1.0,649
5456,1.0,1.0,1.0,650
5468,1.0,1.0,1.0,651
5470,1.0,1.0,1.0,652
5475,1.0,1.0,1.0,653
5478,1.0,1.0,1.0,654
5479,1.0,1.0,1.0,655
5484,1.0,1.0,1.0,656
5490,1.0,1.0,1.0,657
5500,1.0,1.0,1.0,658
5525,1.0,1.0,1.0,659
5526,1.0,1.0,1.0,660
5542,1.0,1.0,1.0,661
5547,1.0,1.0,1.0,662
5570,1.0,1.0,1.0,663
5573,1.0,1.0,1.0,664
5585,1.0,1.0,1.0,665
5594,1.0,1.0,1.0,666
5601,1.0,1.0,1.0,667
5605,1.0,1.0,1.0,668
5616,1.0,1.0,1.0,669
5622,1.0,1.0,1.0,670
5642,1.0,1.0,1.0,671
5643,1.0,1.0,1.0,672
5649,1.0,1.0,1.0,673
5664,1.0,1.0,1.0,674
5683,1.0,1.0,1.0,675
5692,1.0,1.0,1.0,676
5693,1.0,1.0,1.0,677
5702,1.0,1.0,1.0,678
5713,1.0,1.0,1.0,679
5715,1.0,1.0,1.0,680
5716,1.0,1.0,1.0,681
5725,1.0,1.0,1.0,682
5726,1.0,1.0,1.0,683
5727,1.0,1.0,1.0,684
5735,1.0,1.0,1.0,685
5744,1.0,1.0,1.0,686
5752,1.0,1.0,1.0,687
5758,1.0,1.0,1.0,688
5759,1.0,1.0,1.0,689
5765,1.0,1.0,1.0,690
5766,1.0,1.0,1.0,691
5768,1.0,1.0,1.0,692
5771,1.0,1.0,1.0,693
5780,1.0,1.0,1.0,694
5799,1.0,1.0,1.0,695
5802,1.0,1.0,1.0,696
5816,1.0,1.0,1.0,697
5830,1.0,1.0,1.0,698
5837,1.0,1.0,1.0,699
5840,1.0,1.0,1.0,700
5848,1.0,1.0,1.0,701
5852,1.0,1.0,1.0,702
5854,1.0,1.0,1.0,703
5857,1.0,1.0,1.0,704
5865,1.0,1.0,1.0,705
5871,1.0,1.0,1.0,706
5874,1.0,1.0,1.0,707
5877,1.0,1.0,1.0,708
5883,1.0,1.0,1.0,709
5884,1.0,1.0,1.0,710
5885,1.0,1.0,1.0,711
5889,1.0,1.0,1.0,712
5905,1.0,1.0,1.0,713
5908,1.0,1.0,1.0,714
5913,1.0,1.0,1.0,715
5923,1.0,1.0,1.0,716
5927,1.0,1.0,1.0,717
5928,1.0,1.0,1.0,718
5931,1.0,1.0,1.0,719
5943,1.0,1.0,1.0,720
5945,1.0,1.0,1.0,721
5951,1.0,1.0,1.0,722
5953,1.0,1.0,1.0,723
5967,1.0,1.0,1.0,724
5969,1.0,1.0,1.0,725
5981,1.0,1.0,1.0,726
5984,1.0,1.0,1.0,727
6005,1.0,1.0,1.0,728
6008,1.0,1.0,1.0,729
6012,1.0,1.0,1.0,730
6036,1.0,1.0,1.0,731
6038,1.0,1.0,1.0,732
6040,1.0,1.0,1.0,733
6047,1.0,1.0,1.0,734
6060,1.0,1.0,1.0,735
6074,1.0,1.0,1.0,736
6076,1.0,1.0,1.0,737
6079,1.0,1.0,1.0,738
6082,1.0,1.0,1.0,739
6084,1.0,1.0,1.0,740
6089,1.0,1.0,1.0,741
6094,1.0,1.0,1.0,742
6103,1.0,1.0,1.0,743
6104,1.0,1.0,1.0,744
6105,1.0,1.0,1.0,745
6106,1.0,1.0,1.0,746
6111,1.0,1.0,1.0,747
6112,1.0,1.0,1.0,748
6117,1.0,1.0,1.0,749
6125,1.0,1.0,1.0,750
6128,1.0,1.0,1.0,751
6135,1.0,1.0,1.0,752
6152,1.0,1.0,1.0,753
6154,1.0,1.0,1.0,754
6159,1.0,1.0,1.0,755
6170,1.0,1.0,1.0,756
6179,1.0,1.0,1.0,757
6189,1.0,1.0,1.0,758
6194,1.0,1.0,1.0,759
6196,1.0,1.0,1.0,760
6197,1.0,1.0,1.0,761
6203,1.0,1.0,1.0,762
6205,1.0,1.0,1.0,763
6219,1.0,1.0,1.0,764
6226,1.0,1.0,1.0,765
6245,1.0,1.0,1.0,766
6269,1.0,1.0,1.0,767
6290,1.0,1.0,1.0,768
6305,1.0,1.0,1.0,769
6329,1.0,1.0,1.0,770
6330,1.0,1.0,1.0,771
6334,1.0,1.0,1.0,772
6343,1.0,1.0,1.0,773
6349,1.0,1.0,1.0,774
6354,1.0,1.0,1.0,775
6391,1.0,1.0,1.0,776
6406,1.0,1.0,1.0,777
6409,1.0,1.0,1.0,778
6422,1.0,1.0,1.0,779
6434,1.0,1.0,1.0,780
6454,1.0,1.0,1.0,781
6462,1.0,1.0,1.0,782
6466,1.0,1.0,1.0,783
6487,1.0,1.0,1.0,784
6519,1.0,1.0,1.0,785
6528,1.0,1.0,1.0,786
6539,1.0,1.0,1.0,787
6548,1.0,1.0,1.0,788
6563,1.0,1.0,1.0,789
6566,1.0,1.0,1.0,790
6577,1.0,1.0,1.0,791
6581,1.0,1.0,1.0,792
6590,1.0,1.0,1.0,793
6591,1.0,1.0,1.0,794
6611,1.0,1.0,1.0,795
6619,1.0,1.0,1.0,796
6620,1.0,1.0,1.0,797
6626,1.0,1.0,1.0,798
6628,1.0,1.0,1.0,799
6629,1.0,1.0,1.0,800
6634,1.0,1.0,1.0,801
6649,1.0,1.0,1.0,802
6654,1.0,1.0,1.0,803
6695,1.0,1.0,1.0,804
6701,1.0,1.0,1.0,805
6705,1.0,1.0,1.0,806
6711,1.0,1.0,1.0,807
6716,1.0,1.0,1.0,808
6720,1.0,1.0,1.0,809
6722,1.0,1.0,1.0,810
6724,1.0,1.0,1.0,811
6727,1.0,1.0,1.0,812
6742,1.0,1.0,1.0,813
6748,1.0,1.0,1.0,814
6756,1.0,1.0,1.0,815
6757,1.0,1.0,1.0,816
6759,1.0,1.0,1.0,817
6773,1.0,1.0,1.0,818
6781,1.0,1.0,1.0,819
6786,1.0,1.0,1.0,820
6790,1.0,1.0,1.0,821
6794,1.0,1.0,1.0,822
6805,1.0,1.0,1.0,823
6810,1.0,1.0,1.0,824
6813,1.0,1.0,1.0,825
6832,1.0,1.0,1.0,826
6840,1.0,1.0,1.0,827
